task,model,state,year,shift,atc,doc,acc_drop_check
income,logreg,CA,2015,temporal,0.015000000000000013,0.004940986633300781,0.008874999999999966
income,logreg,CA,2016,temporal,0.004749999999999921,0.003605067729949951,0.005375000000000019
income,logreg,CA,2017,temporal,0.008874999999999966,0.006579101085662842,0.015374999999999917
income,logreg,CA,2018,temporal,0.008874999999999966,0.006758570671081543,0.024374999999999925
income,logreg,TX,2014,geographic,0.01824999999999999,0.008418798446655273,0.0031249999999999334
income,logreg,TX,2015,combined,0.0063750000000000195,0.005466043949127197,0.009124999999999939
income,logreg,TX,2016,combined,0.015000000000000013,0.0063710808753967285,0.0021249999999999325
income,logreg,TX,2017,combined,0.021625000000000005,0.010103404521942139,0.00737500000000002
income,logreg,TX,2018,combined,0.02474999999999994,0.012875616550445557,0.016124999999999945
income,logreg,NY,2014,geographic,0.02287499999999998,0.014034628868103027,0.021749999999999936
income,logreg,NY,2015,combined,0.020749999999999935,0.01371544599533081,0.021625000000000005
income,logreg,NY,2016,combined,0.03125,0.017545759677886963,0.03462500000000002
income,logreg,NY,2017,combined,0.026000000000000023,0.018555939197540283,0.02574999999999994
income,logreg,NY,2018,combined,0.025499999999999967,0.018527567386627197,0.03649999999999998
income,logreg,FL,2014,geographic,0.029124999999999956,0.01828867197036743,0.017249999999999988
income,logreg,FL,2015,combined,0.030124999999999957,0.018558502197265625,0.01849999999999996
income,logreg,FL,2016,combined,0.02949999999999997,0.017376482486724854,0.014499999999999957
income,logreg,FL,2017,combined,0.02949999999999997,0.02284872531890869,0.02937499999999993
income,logreg,FL,2018,combined,0.03587499999999999,0.022691309452056885,0.03412499999999996
income,logreg,PA,2014,geographic,0.017874999999999974,0.013833880424499512,0.0011249999999999316
income,logreg,PA,2015,combined,0.020000000000000018,0.014010846614837646,0.009375000000000022
income,logreg,PA,2016,combined,0.029749999999999943,0.01850593090057373,0.022625000000000006
income,logreg,PA,2017,combined,0.03499999999999992,0.019930720329284668,0.021374999999999922
income,logreg,PA,2018,combined,0.021874999999999978,0.017272591590881348,0.02487499999999998
income,logreg,OH,2014,geographic,0.003874999999999962,0.00965869426727295,-0.0068750000000000755
income,logreg,OH,2015,combined,0.02400000000000002,0.015359878540039062,0.0
income,logreg,OH,2016,combined,0.025249999999999995,0.017319798469543457,0.004249999999999976
income,logreg,OH,2017,combined,0.03299999999999992,0.018884658813476562,0.004874999999999963
income,logreg,OH,2018,combined,0.03249999999999997,0.018850862979888916,0.012499999999999956
income,logreg,IL,2014,geographic,0.036374999999999935,0.019312024116516113,0.015499999999999958
income,logreg,IL,2015,combined,0.03412499999999996,0.019549965858459473,0.01824999999999999
income,logreg,IL,2016,combined,0.03799999999999992,0.022508859634399414,0.02200000000000002
income,logreg,IL,2017,combined,0.03387499999999999,0.02220088243484497,0.027000000000000024
income,logreg,IL,2018,combined,0.03674999999999995,0.02114945650100708,0.03587499999999999
income,logreg,GA,2014,geographic,0.018749999999999933,0.01384812593460083,0.0017499999999999183
income,logreg,GA,2015,combined,0.019874999999999976,0.01384645700454712,0.010874999999999968
income,logreg,GA,2016,combined,0.02112499999999995,0.016710400581359863,0.005375000000000019
income,logreg,GA,2017,combined,0.026499999999999968,0.015052378177642822,0.01012499999999994
income,logreg,GA,2018,combined,0.02774999999999994,0.01798933744430542,0.01824999999999999
income,logreg,NC,2014,geographic,0.029874999999999985,0.01796180009841919,0.008624999999999994
income,logreg,NC,2015,combined,0.03587499999999999,0.022083699703216553,0.022374999999999923
income,logreg,NC,2016,combined,0.032749999999999946,0.02040940523147583,0.015625
income,logreg,NC,2017,combined,0.04062500000000002,0.024294495582580566,0.02949999999999997
income,logreg,NC,2018,combined,0.027124999999999955,0.021745383739471436,0.015625
income,logreg,WA,2014,geographic,0.03774999999999995,0.020500123500823975,0.022625000000000006
income,logreg,WA,2015,combined,0.04037499999999994,0.02161705493927002,0.03249999999999997
income,logreg,WA,2016,combined,0.03499999999999992,0.021541953086853027,0.023249999999999993
income,logreg,WA,2017,combined,0.04049999999999998,0.023037970066070557,0.041749999999999954
income,logreg,WA,2018,combined,0.03887499999999999,0.02294480800628662,0.03149999999999997
income,logreg,AZ,2014,geographic,0.020874999999999977,0.011204957962036133,0.016625
income,logreg,AZ,2015,combined,0.016874999999999973,0.009933948516845703,0.00737500000000002
income,logreg,AZ,2016,combined,0.018874999999999975,0.011841416358947754,0.010375000000000023
income,logreg,AZ,2017,combined,0.02300000000000002,0.009856343269348145,0.002749999999999919
income,logreg,AZ,2018,combined,0.025499999999999967,0.014944970607757568,0.018000000000000016
income,logreg,MA,2014,geographic,0.016625,0.011335372924804688,0.008874999999999966
income,logreg,MA,2015,combined,0.012249999999999983,0.010444581508636475,0.011375000000000024
income,logreg,MA,2016,combined,0.013249999999999984,0.012428760528564453,0.017000000000000015
income,logreg,MA,2017,combined,0.01924999999999999,0.014357984066009521,0.02300000000000002
income,logreg,MA,2018,combined,0.01649999999999996,0.01834571361541748,0.029249999999999998
income,rf,CA,2015,temporal,0.01200000000000001,0.005579541858039105,0.00012500000000004174
income,rf,CA,2016,temporal,0.0035000000000000586,0.0025084972867840394,0.0002500000000000835
income,rf,CA,2017,temporal,0.014500000000000068,0.007784336310434514,0.010000000000000009
income,rf,CA,2018,temporal,0.004125000000000045,0.004279811885227192,0.01187500000000008
income,rf,TX,2014,geographic,0.02300000000000002,0.009570454104748438,0.012624999999999997
income,rf,TX,2015,combined,0.012375000000000025,0.006329593397436328,0.014125000000000054
income,rf,TX,2016,combined,0.009500000000000064,0.006683918341445105,0.00462499999999999
income,rf,TX,2017,combined,0.014249999999999985,0.009648926019113935,0.009875000000000078
income,rf,TX,2018,combined,0.017625000000000002,0.011853063029661381,0.02212500000000006
income,rf,NY,2014,geographic,0.01200000000000001,0.0073078295649915415,0.020750000000000046
income,rf,NY,2015,combined,0.016000000000000014,0.009991163730764363,0.01475000000000004
income,rf,NY,2016,combined,0.035250000000000004,0.014217955952910533,0.03325
income,rf,NY,2017,combined,0.024375000000000036,0.0122465215839207,0.01737500000000003
income,rf,NY,2018,combined,0.02375000000000005,0.013491616189058031,0.027750000000000052
income,rf,FL,2014,geographic,0.030000000000000027,0.01691688176053263,0.02400000000000002
income,rf,FL,2015,combined,0.03200000000000003,0.017939024749348165,0.02400000000000002
income,rf,FL,2016,combined,0.03587499999999999,0.018839346277391478,0.024500000000000077
income,rf,FL,2017,combined,0.04800000000000004,0.022701263650127146,0.03500000000000003
income,rf,FL,2018,combined,0.03649999999999998,0.021564511578948453,0.04200000000000004
income,rf,PA,2014,geographic,0.024625000000000008,0.01098902815561642,0.008624999999999994
income,rf,PA,2015,combined,0.030500000000000083,0.012770649321737881,0.014000000000000012
income,rf,PA,2016,combined,0.027125000000000066,0.01344609823014975,0.022249999999999992
income,rf,PA,2017,combined,0.029249999999999998,0.015700994920554656,0.018125000000000058
income,rf,PA,2018,combined,0.03025,0.014774973829953186,0.02124999999999999
income,rf,OH,2014,geographic,0.008500000000000063,0.002308327869973925,0.0002500000000000835
income,rf,OH,2015,combined,0.015750000000000042,0.007419921704494459,0.010249999999999981
income,rf,OH,2016,combined,0.017875000000000085,0.010059535489277516,0.009750000000000036
income,rf,OH,2017,combined,0.035499999999999976,0.015332351456424864,0.013624999999999998
income,rf,OH,2018,combined,0.028249999999999997,0.013707337093518346,0.01650000000000007
income,rf,IL,2014,geographic,0.021625000000000005,0.01041262822419664,0.017625000000000002
income,rf,IL,2015,combined,0.014125000000000054,0.010042161315260478,0.016249999999999987
income,rf,IL,2016,combined,0.025000000000000022,0.014290016808970019,0.02012500000000006
income,rf,IL,2017,combined,0.03287499999999999,0.0159953042133818,0.02124999999999999
income,rf,IL,2018,combined,0.027874999999999983,0.014905797117612973,0.03575000000000006
income,rf,GA,2014,geographic,0.02100000000000002,0.010035246386836949,0.008125000000000049
income,rf,GA,2015,combined,0.015000000000000013,0.010163396559849769,0.011750000000000038
income,rf,GA,2016,combined,0.016249999999999987,0.012959501000589624,0.017125000000000057
income,rf,GA,2017,combined,0.018000000000000016,0.012130352985622261,0.01100000000000001
income,rf,GA,2018,combined,0.03125,0.013731046577170058,0.024249999999999994
income,rf,NC,2014,geographic,0.02650000000000008,0.011343804280776859,0.008750000000000036
income,rf,NC,2015,combined,0.03675000000000006,0.01759124411008195,0.024125000000000063
income,rf,NC,2016,combined,0.02487499999999998,0.014587063271163103,0.023375000000000035
income,rf,NC,2017,combined,0.03600000000000003,0.01773791262061941,0.027125000000000066
income,rf,NC,2018,combined,0.03837500000000005,0.017182349797599472,0.027000000000000024
income,rf,WA,2014,geographic,0.02487499999999998,0.011807024403948874,0.02212500000000006
income,rf,WA,2015,combined,0.03225,0.01554501825269794,0.02287499999999998
income,rf,WA,2016,combined,0.024500000000000077,0.014381006044148714,0.01637500000000003
income,rf,WA,2017,combined,0.03037500000000004,0.014894840483895666,0.02562500000000001
income,rf,WA,2018,combined,0.03737500000000005,0.016737472745843585,0.021874999999999978
income,rf,AZ,2014,geographic,0.02587499999999998,0.009894006427617619,0.01650000000000007
income,rf,AZ,2015,combined,0.018625000000000003,0.006241864401080877,0.009875000000000078
income,rf,AZ,2016,combined,0.02112500000000006,0.009685877938407028,0.014500000000000068
income,rf,AZ,2017,combined,0.017750000000000044,0.005684578909256555,0.013249999999999984
income,rf,AZ,2018,combined,0.02575000000000005,0.01183253354931979,0.016125000000000056
income,rf,MA,2014,geographic,0.005875000000000075,0.002689978840962337,0.00012500000000004174
income,rf,MA,2015,combined,-0.0014999999999999458,0.0015563525605614137,0.0040000000000000036
income,rf,MA,2016,combined,0.007000000000000006,0.0044843849191289475,0.012125000000000052
income,rf,MA,2017,combined,0.004125000000000045,0.004545703517403132,0.016625
income,rf,MA,2018,combined,0.004249999999999976,0.007860938614860036,0.016125000000000056
income,xgb,CA,2015,temporal,0.011499999999999955,0.005331575870513916,0.008375000000000021
income,xgb,CA,2016,temporal,0.003375000000000017,0.0032131075859069824,0.00275000000000003
income,xgb,CA,2017,temporal,0.009499999999999953,0.007130861282348633,0.009375000000000022
income,xgb,CA,2018,temporal,0.006124999999999936,0.005112171173095703,0.015249999999999986
income,xgb,TX,2014,geographic,0.02300000000000002,0.008581995964050293,0.013749999999999929
income,xgb,TX,2015,combined,0.008749999999999925,0.004514515399932861,0.01387499999999997
income,xgb,TX,2016,combined,0.01387499999999997,0.005526065826416016,0.008624999999999994
income,xgb,TX,2017,combined,0.014375000000000027,0.009474337100982666,0.013749999999999929
income,xgb,TX,2018,combined,0.016625,0.010922133922576904,0.026000000000000023
income,xgb,NY,2014,geographic,0.011749999999999927,0.007582247257232666,0.02200000000000002
income,xgb,NY,2015,combined,0.023625000000000007,0.010421276092529297,0.02287499999999998
income,xgb,NY,2016,combined,0.03325,0.014636218547821045,0.032625000000000015
income,xgb,NY,2017,combined,0.024249999999999994,0.012411296367645264,0.022625000000000006
income,xgb,NY,2018,combined,0.02387499999999998,0.013898253440856934,0.03137499999999993
income,xgb,FL,2014,geographic,0.02774999999999994,0.01622605323791504,0.02949999999999997
income,xgb,FL,2015,combined,0.032625000000000015,0.017654478549957275,0.028249999999999997
income,xgb,FL,2016,combined,0.040874999999999995,0.019841134548187256,0.02762500000000001
income,xgb,FL,2017,combined,0.04337499999999994,0.02211374044418335,0.036250000000000004
income,xgb,FL,2018,combined,0.03037499999999993,0.021068453788757324,0.04337499999999994
income,xgb,PA,2014,geographic,0.028749999999999942,0.012516677379608154,0.009000000000000008
income,xgb,PA,2015,combined,0.02674999999999994,0.013426005840301514,0.01824999999999999
income,xgb,PA,2016,combined,0.027000000000000024,0.013519465923309326,0.026124999999999954
income,xgb,PA,2017,combined,0.032749999999999946,0.015851199626922607,0.019000000000000017
income,xgb,PA,2018,combined,0.025374999999999925,0.01412874460220337,0.024374999999999925
income,xgb,OH,2014,geographic,0.011499999999999955,0.00503164529800415,0.00012499999999993072
income,xgb,OH,2015,combined,0.02212499999999995,0.00895845890045166,0.009624999999999995
income,xgb,OH,2016,combined,0.02024999999999999,0.01080775260925293,0.011249999999999982
income,xgb,OH,2017,combined,0.03962500000000002,0.016338229179382324,0.016874999999999973
income,xgb,OH,2018,combined,0.037124999999999964,0.015676498413085938,0.01849999999999996
income,xgb,IL,2014,geographic,0.023499999999999965,0.011671125888824463,0.01737500000000003
income,xgb,IL,2015,combined,0.02400000000000002,0.012835085391998291,0.016625
income,xgb,IL,2016,combined,0.02587499999999998,0.014721095561981201,0.023749999999999938
income,xgb,IL,2017,combined,0.028749999999999942,0.016189396381378174,0.02312499999999995
income,xgb,IL,2018,combined,0.029000000000000026,0.016181111335754395,0.03887499999999999
income,xgb,GA,2014,geographic,0.014249999999999985,0.00979989767074585,0.007124999999999937
income,xgb,GA,2015,combined,0.011624999999999996,0.009303927421569824,0.018000000000000016
income,xgb,GA,2016,combined,0.02124999999999999,0.012543678283691406,0.020625000000000004
income,xgb,GA,2017,combined,0.014874999999999972,0.011582016944885254,0.01574999999999993
income,xgb,GA,2018,combined,0.030124999999999957,0.01373910903930664,0.025000000000000022
income,xgb,NC,2014,geographic,0.029249999999999998,0.012316405773162842,0.015375000000000028
income,xgb,NC,2015,combined,0.03437499999999993,0.016492486000061035,0.029124999999999956
income,xgb,NC,2016,combined,0.02112499999999995,0.013614177703857422,0.029625000000000012
income,xgb,NC,2017,combined,0.028874999999999984,0.016897499561309814,0.02849999999999997
income,xgb,NC,2018,combined,0.03187499999999999,0.01653808355331421,0.025124999999999953
income,xgb,WA,2014,geographic,0.027124999999999955,0.011716187000274658,0.028124999999999956
income,xgb,WA,2015,combined,0.035250000000000004,0.01647871732711792,0.026874999999999982
income,xgb,WA,2016,combined,0.030000000000000027,0.015143930912017822,0.02012499999999995
income,xgb,WA,2017,combined,0.029749999999999943,0.015978753566741943,0.028249999999999997
income,xgb,WA,2018,combined,0.03437499999999993,0.016421377658843994,0.020749999999999935
income,xgb,AZ,2014,geographic,0.019000000000000017,0.009118258953094482,0.019499999999999962
income,xgb,AZ,2015,combined,0.015124999999999944,0.0061945319175720215,0.01574999999999993
income,xgb,AZ,2016,combined,0.019749999999999934,0.008966624736785889,0.021749999999999936
income,xgb,AZ,2017,combined,0.013624999999999998,0.006070494651794434,0.015625
income,xgb,AZ,2018,combined,0.027374999999999927,0.012044191360473633,0.019499999999999962
income,xgb,MA,2014,geographic,0.007874999999999965,0.003058195114135742,0.005874999999999964
income,xgb,MA,2015,combined,0.0010000000000000009,0.002327263355255127,0.006249999999999978
income,xgb,MA,2016,combined,0.00924999999999998,0.004687190055847168,0.014000000000000012
income,xgb,MA,2017,combined,0.005750000000000033,0.006390094757080078,0.019499999999999962
income,xgb,MA,2018,combined,0.004750000000000032,0.008334696292877197,0.021874999999999978
pubcov,logreg,CA,2015,temporal,0.004375000000000018,0.0014392733573913574,0.05625000000000002
pubcov,logreg,CA,2016,temporal,0.0031250000000000444,0.001179814338684082,0.06362500000000004
pubcov,logreg,CA,2017,temporal,0.00912500000000005,0.00248032808303833,0.06762500000000005
pubcov,logreg,CA,2018,temporal,0.006000000000000005,0.0012503862380981445,0.06000000000000005
pubcov,logreg,TX,2014,geographic,0.00012500000000004174,0.00019723176956176758,-0.08124999999999993
pubcov,logreg,TX,2015,combined,0.0008750000000000702,0.0009558200836181641,-0.08187499999999992
pubcov,logreg,TX,2016,combined,0.002875000000000072,0.00031441450119018555,-0.07487499999999991
pubcov,logreg,TX,2017,combined,0.008500000000000063,0.0015774965286254883,-0.0658749999999999
pubcov,logreg,TX,2018,combined,0.0015000000000000568,0.0012682080268859863,-0.07487499999999991
pubcov,logreg,NY,2014,geographic,-0.011249999999999982,-0.0015141963958740234,0.03137500000000004
pubcov,logreg,NY,2015,combined,-0.016874999999999973,-0.0015780329704284668,0.054625000000000035
pubcov,logreg,NY,2016,combined,-0.009624999999999995,-0.0011878609657287598,0.07325000000000004
pubcov,logreg,NY,2017,combined,-0.004874999999999963,-0.0005682706832885742,0.06575000000000009
pubcov,logreg,NY,2018,combined,0.0008750000000000702,0.0003085136413574219,0.06700000000000006
pubcov,logreg,FL,2014,geographic,-0.011249999999999982,-0.0011950135231018066,-0.056624999999999925
pubcov,logreg,FL,2015,combined,-0.0044999999999999485,-0.00011783838272094727,-0.040999999999999925
pubcov,logreg,FL,2016,combined,-0.011624999999999996,-0.000573277473449707,-0.04987499999999989
pubcov,logreg,FL,2017,combined,-0.01674999999999993,-0.0026310086250305176,-0.04762499999999992
pubcov,logreg,FL,2018,combined,-0.004124999999999934,-0.001143336296081543,-0.05699999999999994
pubcov,logreg,PA,2014,geographic,-0.01937499999999992,-0.0027840137481689453,-0.0684999999999999
pubcov,logreg,PA,2015,combined,-0.012249999999999983,0.0003108978271484375,-0.04237499999999994
pubcov,logreg,PA,2016,combined,-0.015124999999999944,-0.0006647706031799316,-0.028249999999999997
pubcov,logreg,PA,2017,combined,-0.013624999999999998,-0.0009643435478210449,-0.019624999999999893
pubcov,logreg,PA,2018,combined,-0.004874999999999963,0.000947117805480957,-0.01862499999999989
pubcov,logreg,OH,2014,geographic,-0.020499999999999963,-0.0030102133750915527,-0.024124999999999952
pubcov,logreg,OH,2015,combined,-0.007624999999999993,-0.0006961822509765625,0.0002500000000000835
pubcov,logreg,OH,2016,combined,-0.0063749999999999085,-0.0009128451347351074,0.007000000000000006
pubcov,logreg,OH,2017,combined,-0.01112499999999994,-0.001611471176147461,0.01375000000000004
pubcov,logreg,OH,2018,combined,-0.004874999999999963,0.0005494356155395508,0.0021250000000000435
pubcov,logreg,IL,2014,geographic,-0.026374999999999926,-0.0077304840087890625,-0.03299999999999992
pubcov,logreg,IL,2015,combined,-0.027124999999999955,-0.006493687629699707,-0.007999999999999896
pubcov,logreg,IL,2016,combined,-0.02212499999999995,-0.005224943161010742,0.0030000000000000027
pubcov,logreg,IL,2017,combined,-0.021499999999999964,-0.0053730010986328125,-0.004874999999999963
pubcov,logreg,IL,2018,combined,-0.01649999999999996,-0.004906058311462402,-0.01112499999999994
pubcov,logreg,GA,2014,geographic,0.0007500000000000284,0.0009121894836425781,-0.07237499999999997
pubcov,logreg,GA,2015,combined,0.003375000000000017,0.0013382434844970703,-0.07474999999999998
pubcov,logreg,GA,2016,combined,0.0011250000000000426,3.4689903259277344e-05,-0.06737499999999996
pubcov,logreg,GA,2017,combined,0.008375000000000021,0.002319931983947754,-0.06937499999999996
pubcov,logreg,GA,2018,combined,0.008625000000000105,0.0026741623878479004,-0.06599999999999995
pubcov,logreg,NC,2014,geographic,-0.004999999999999893,-0.0012307167053222656,-0.06499999999999995
pubcov,logreg,NC,2015,combined,-0.008999999999999897,-0.0016934871673583984,-0.05262499999999992
pubcov,logreg,NC,2016,combined,-0.001374999999999904,0.0010286569595336914,-0.03949999999999998
pubcov,logreg,NC,2017,combined,-0.017249999999999988,-0.0019729137420654297,-0.05137499999999995
pubcov,logreg,NC,2018,combined,-0.01574999999999993,-0.0006883144378662109,-0.05249999999999999
pubcov,logreg,WA,2014,geographic,-0.018124999999999947,-0.005813658237457275,-0.029249999999999998
pubcov,logreg,WA,2015,combined,-0.013999999999999901,-0.004013419151306152,0.00912500000000005
pubcov,logreg,WA,2016,combined,-0.003374999999999906,-0.0014802217483520508,0.017000000000000015
pubcov,logreg,WA,2017,combined,-0.011749999999999927,-0.0029628872871398926,0.018125000000000058
pubcov,logreg,WA,2018,combined,-0.005374999999999908,-0.0015552043914794922,0.014250000000000096
pubcov,logreg,AZ,2014,geographic,0.01362500000000011,0.0037039518356323242,0.004250000000000087
pubcov,logreg,AZ,2015,combined,0.019750000000000045,0.004751026630401611,0.02937500000000004
pubcov,logreg,AZ,2016,combined,0.017125000000000057,0.005492210388183594,0.027750000000000052
pubcov,logreg,AZ,2017,combined,0.012625000000000108,0.004629671573638916,0.03575000000000006
pubcov,logreg,AZ,2018,combined,0.017875000000000085,0.0052124857902526855,0.018500000000000072
pubcov,logreg,MA,2014,geographic,-0.027374999999999927,-0.006427288055419922,0.01750000000000007
pubcov,logreg,MA,2015,combined,-0.03049999999999997,-0.005244016647338867,0.025500000000000078
pubcov,logreg,MA,2016,combined,-0.020749999999999935,-0.0028454065322875977,0.03112500000000007
pubcov,logreg,MA,2017,combined,-0.022499999999999964,-0.0038352012634277344,0.026250000000000107
pubcov,logreg,MA,2018,combined,-0.02012499999999995,-0.002736389636993408,0.01650000000000007
pubcov,rf,CA,2015,temporal,0.010750000000000037,0.004966398216933232,0.06062500000000004
pubcov,rf,CA,2016,temporal,-0.010249999999999981,-0.0017795801318856164,0.06225000000000003
pubcov,rf,CA,2017,temporal,0.0017500000000000293,0.002345967455756104,0.06962500000000005
pubcov,rf,CA,2018,temporal,-0.003249999999999975,-0.0010210236792977945,0.0655
pubcov,rf,TX,2014,geographic,0.008000000000000007,0.007462766884937189,-0.06524999999999992
pubcov,rf,TX,2015,combined,0.008875000000000077,0.008174653039999202,-0.06574999999999998
pubcov,rf,TX,2016,combined,0.006125000000000047,0.00566665614292805,-0.05874999999999997
pubcov,rf,TX,2017,combined,0.006750000000000034,0.006214575195806149,-0.05687500000000001
pubcov,rf,TX,2018,combined,-0.0004999999999999449,0.0038835464343863757,-0.06099999999999994
pubcov,rf,NY,2014,geographic,-0.00737500000000002,-0.0036965859496470577,0.03212500000000007
pubcov,rf,NY,2015,combined,-0.015374999999999917,-0.004598731012422919,0.05537500000000006
pubcov,rf,NY,2016,combined,-0.013749999999999929,-0.0041636743992875536,0.072125
pubcov,rf,NY,2017,combined,-0.005749999999999922,-0.005025611020897824,0.06625000000000003
pubcov,rf,NY,2018,combined,-0.016249999999999987,-0.005905095961145634,0.06412499999999999
pubcov,rf,FL,2014,geographic,0.007000000000000006,0.0031783227612413034,-0.037374999999999936
pubcov,rf,FL,2015,combined,0.005750000000000033,0.0037959510827855203,-0.028374999999999928
pubcov,rf,FL,2016,combined,-0.0024999999999999467,0.0031007385433590162,-0.03462500000000002
pubcov,rf,FL,2017,combined,-0.010375000000000023,-0.0012957262238356693,-0.036250000000000004
pubcov,rf,FL,2018,combined,-0.005499999999999949,0.0008357998086150342,-0.03799999999999992
pubcov,rf,PA,2014,geographic,-0.024249999999999994,-0.003571513795329606,-0.060124999999999984
pubcov,rf,PA,2015,combined,-0.015000000000000013,-0.003620683608200448,-0.03499999999999992
pubcov,rf,PA,2016,combined,-0.02112499999999995,-0.004144339734372671,-0.025124999999999953
pubcov,rf,PA,2017,combined,-0.01824999999999999,-0.005116973019130278,-0.014124999999999943
pubcov,rf,PA,2018,combined,-0.02587499999999998,-0.00540465897428577,-0.015249999999999986
pubcov,rf,OH,2014,geographic,-0.012124999999999941,0.0010735189122949018,-0.016374999999999917
pubcov,rf,OH,2015,combined,0.0022500000000000853,0.0025999368310535287,0.0022500000000000853
pubcov,rf,OH,2016,combined,-0.005624999999999991,0.0011193360910088934,0.008125000000000049
pubcov,rf,OH,2017,combined,-0.01737499999999992,-0.0024065572857806528,0.014000000000000012
pubcov,rf,OH,2018,combined,-0.014249999999999985,-0.0006985075039370736,0.005249999999999977
